base,variable,tipo,n_no_nulos,pct_completitud,n_unicos
PRONIED_MANTENIMIENTO,c8_circulacion_vertical,float64,51,0.04,25
PRONIED_MANTENIMIENTO,instalaciones_electricas_sshh,float64,146,0.1,72
PRONIED_MANTENIMIENTO,instalaciones_sanitarias_sshh,float64,223,0.16,114
PRONIED_MANTENIMIENTO,muros_paneles_sshh,float64,149,0.11,78
PRONIED_MANTENIMIENTO,vegetacion_en_areas_de_recreacion,float64,69,0.05,38
PRONIED_MANTENIMIENTO,monto_total_de_la_faa_1,float64,269,0.19,135
PRONIED_MANTENIMIENTO,c1_ingreso_al_local_educativo_1,float64,128,0.09,70
PRONIED_MANTENIMIENTO,c2_ingreso_a_la_edificacion_1,float64,149,0.11,80
PRONIED_MANTENIMIENTO,c3_circulacion_horizontal_1,float64,142,0.1,77
PRONIED_MANTENIMIENTO,c4_servicios_higienicos_1,float64,224,0.16,124
PRONIED_MANTENIMIENTO,c5_senalizacion_de_seguridad_y_accesibilidad_1,float64,59,0.04,31
PRONIED_MANTENIMIENTO,c6_senalizacion_podotactil_1,float64,50,0.04,26
PRONIED_MANTENIMIENTO,c7_area_de_recreacion_accesible_1,float64,163,0.12,89
PRONIED_MANTENIMIENTO,c8_circulacion_vertical_1,float64,50,0.04,25
PRONIED_MANTENIMIENTO,transporte_2,float64,110,0.08,56
PRONIED_MANTENIMIENTO,instalaciones_electricas_sshh_1,float64,130,0.09,72
PRONIED_MANTENIMIENTO,instalaciones_sanitarias_sshh_1,float64,213,0.15,117
PRONIED_MANTENIMIENTO,muros_paneles_sshh_1,float64,142,0.1,79
PRONIED_MANTENIMIENTO,transporte_3,float64,110,0.08,56
PRONIED_MANTENIMIENTO,vegetacion_en_areas_de_recreacion_1,float64,51,0.04,28
PRONIED_MANTENIMIENTO,monto_total_de_la_dg_1,float64,244,0.17,127
PRONIED_MANTENIMIENTO,anexo,string,0,0.0,0
PRONIED_MANTENIMIENTO,flag_dup_clave,Int8,140739,100.0,2
